Ordine e disciplina,Codice Ateco 2007,Descrizione,,,,,
914,26.52.00,Fabbricazione di orologi,,,,,
915,26.6,"FABBRICAZIONE DI STRUMENTI PER IRRADIAZIONE, APPARECCHIATURE ELETTROMEDICALI ED ELETTROTERAPEUTICHE",,,,,
916,26.60,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche",,,,,
917,26.60.0,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche",,,,,
918,26.60.01,Fabbricazione di apparecchiature di irradiazione per alimenti e latte,,,,,
919,26.60.02,Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori),,,,,
920,26.60.09,Fabbricazione di altri strumenti per irradiazione ed altre apparecchiature elettroterapeutiche,,,,,
921,26.7,FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE,,,,,
922,26.70,Fabbricazione di strumenti ottici e attrezzature fotografiche,,,,,
923,26.70.1,"Fabbricazione di elementi ottici e strumenti ottici di misura, controllo e precisione",,,,,
924,26.70.11,Fabbricazione di elementi ottici e strumenti ottici di precisione,,,,,
925,26.70.12,Fabbricazione di attrezzature ottiche di misurazione e controllo,,,,,
926,26.70.2,Fabbricazione di apparecchiature fotografiche e cinematografiche,,,,,
927,26.70.20,Fabbricazione di apparecchiature fotografiche e cinematografiche,,,,,
928,26.8,FABBRICAZIONE DI SUPPORTI MAGNETICI ED OTTICI,,,,,
929,26.80,Fabbricazione di supporti magnetici ed ottici,,,,,
930,26.80.0,Fabbricazione di supporti magnetici ed ottici,,,,,
931,26.80.00,Fabbricazione di supporti magnetici ed ottici,,,,,
932,27,FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE,,,,,
933,27.1,"FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI E DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITÀ",,,,,
934,27.11,"Fabbricazione di motori, generatori e trasformatori elettrici",,,,,
935,27.11.0,"Fabbricazione di motori, generatori e trasformatori elettrici",,,,,
936,27.11.00,"Fabbricazione di motori, generatori e trasformatori elettrici",,,,,
937,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,,,,,
938,27.12.0,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,,,,,
939,27.12.00,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,,,,,
940,27.2,FABBRICAZIONE DI BATTERIE DI PILE ED ACCUMULATORI ELETTRICI,,,,,
941,27.20,Fabbricazione di batterie di pile ed accumulatori elettrici,,,,,
942,27.20.0,Fabbricazione di batterie di pile ed accumulatori elettrici,,,,,
943,27.20.00,Fabbricazione di batterie di pile ed accumulatori elettrici,,,,,
944,27.3,FABBRICAZIONE DI CABLAGGI E APPARECCHIATURE DI CABLAGGIO,,,,,
945,27.31,Fabbricazione di cavi a fibra ottica,,,,,
946,27.31.0,Fabbricazione di cavi a fibra ottica,,,,,
947,27.31.01,Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini,,,,,
948,27.31.02,Fabbricazione di fibre ottiche,,,,,
949,27.32,Fabbricazione di altri fili e cavi elettrici ed elettronici,,,,,
950,27.32.0,Fabbricazione di altri fili e cavi elettrici ed elettronici,,,,,
951,27.32.00,Fabbricazione di altri fili e cavi elettrici ed elettronici,,,,,
952,27.33,Fabbricazione di attrezzature per cablaggio,,,,,
953,27.33.0,Fabbricazione di attrezzature per cablaggio,,,,,
954,27.33.01,Fabbricazione di apparecchiature in plastica non conduttiva,,,,,
955,27.33.09,Fabbricazione di altre attrezzature per cablaggio,,,,,
956,27.4,FABBRICAZIONE DI APPARECCHIATURE PER ILLUMINAZIONE,,,,,
957,27.40,Fabbricazione di apparecchiature per illuminazione,,,,,
958,27.40.0,Fabbricazione di apparecchiature per illuminazione,,,,,
959,27.40.01,Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di trasporto,,,,,
960,27.40.09,Fabbricazione di altre apparecchiature per illuminazione,,,,,
961,27.5,FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO,,,,,
962,27.51,Fabbricazione di elettrodomestici,,,,,
963,27.51.0,Fabbricazione di elettrodomestici,,,,,
964,27.51.00,Fabbricazione di elettrodomestici,,,,,
965,27.52,Fabbricazione di apparecchi per uso domestico non elettrici,,,,,
966,27.52.0,Fabbricazione di apparecchi per uso domestico non elettrici,,,,,
967,27.52.00,Fabbricazione di apparecchi per uso domestico non elettrici,,,,,
968,27.9,FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE,,,,,
969,27.90,Fabbricazione di altre apparecchiature elettriche,,,,,
970,27.90.0,Fabbricazione di altre apparecchiature elettriche,,,,,
971,27.90.01,Fabbricazione di apparecchiature elettriche per saldature e brasature,,,,,
972,27.90.02,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione,,,,,
973,27.90.03,"Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori",,,,,
974,27.90.09,Fabbricazione di altre apparecchiature elettriche nca,,,,,
975,28,FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,,,,,
976,28.1,FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE,,,,,
977,28.11,"Fabbricazione di motori e turbine (esclusi i motori per aeromobili, veicoli e motocicli)",,,,,
978,28.11.1,Fabbricazione di motori a combustione interna (incluse parti e accessori ed esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili),,,,,
979,28.11.11,Fabbricazione di motori a combustione interna (esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili),,,,,
980,28.11.12,"Fabbricazione di pistoni, fasce elastiche, carburatori e parti simili di motori a combustione interna",,,,,
981,28.11.2,Fabbricazione di turbine e turboalternatori (incluse parti e accessori),,,,,
982,28.11.20,Fabbricazione di turbine e turboalternatori (incluse parti e accessori),,,,,
983,28.12,Fabbricazione di apparecchiature fluidodinamiche,,,,,
984,28.12.0,Fabbricazione di apparecchiature fluidodinamiche,,,,,
985,28.12.00,Fabbricazione di apparecchiature fluidodinamiche,,,,,
986,28.13,Fabbricazione di altre pompe e compressori,,,,,
987,28.13.0,Fabbricazione di altre pompe e compressori,,,,,
988,28.13.00,Fabbricazione di altre pompe e compressori,,,,,
989,28.14,Fabbricazione di altri rubinetti e valvole,,,,,
990,28.14.0,Fabbricazione di altri rubinetti e valvole,,,,,
991,28.14.00,Fabbricazione di altri rubinetti e valvole,,,,,
992,28.15,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione (esclusi quelli idraulici)",,,,,
993,28.15.1,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)",,,,,
994,28.15.10,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)",,,,,
995,28.15.2,Fabbricazione di cuscinetti a sfere,,,,,
996,28.15.20,Fabbricazione di cuscinetti a sfere,,,,,
997,28.2,FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE,,,,,
998,28.21,"Fabbricazione di forni, bruciatori e sistemi di riscaldamento",,,,,
999,28.21.1,"Fabbricazione di forni, fornaci e bruciatori",,,,,
1000,28.21.10,"Fabbricazione di forni, fornaci e bruciatori",,,,,
1001,28.21.2,Fabbricazione di sistemi di riscaldamento,,,,,
1002,28.21.21,Fabbricazione di caldaie per riscaldamento,,,,,
1003,28.21.29,Fabbricazione di altri sistemi per riscaldamento,,,,,
1004,28.22,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione,,,,,
1005,28.22.0,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione,,,,,
1006,28.22.01,"Fabbricazione di ascensori, montacarichi e scale mobili",,,,,
1007,28.22.02,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli",,,,,
1008,28.22.03,Fabbricazione di carriole,,,,,
1009,28.22.09,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione,,,,,
1010,28.23,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche),,,,,
1011,28.23.0,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche),,,,,
1012,28.23.01,Fabbricazione di cartucce toner,,,,,
1013,28.23.09,Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e periferiche),,,,,
1014,28.24,Fabbricazione di utensili portatili a motore,,,,,
1015,28.24.0,Fabbricazione di utensili portatili a motore,,,,,
1016,28.24.00,Fabbricazione di utensili portatili a motore,,,,,
1017,28.25,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,,,,,
1018,28.25.0,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione, fabbricazione di condizionatori domestici fissi,,,,
1019,28.25.00,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione, fabbricazione di condizionatori domestici fissi,,,,
1020,28.29,Fabbricazione di altre macchine di impiego generale nca,,,,,
1021,28.29.1,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori),,,,,
1022,28.29.10,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori),,,,,
1023,28.29.2,"Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)",,,,,
1024,28.29.20,"Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)",,,,,
1025,28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)",,,,,
1026,28.29.30,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)",,,,,
1027,28.29.9,Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca,,,,,
1028,28.29.91,Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico,,,,,
1029,28.29.92,Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico,,,,,
1030,28.29.93,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici)",,,,,
1031,28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,,,,,
1032,28.3,FABBRICAZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA,,,,,
1033,28.30,Fabbricazione di macchine per l'agricoltura e la silvicoltura,,,,,
1034,28.30.1,Fabbricazione di trattori agricoli,,,,,
1035,28.30.10,Fabbricazione di trattori agricoli,,,,,
1036,28.30.9,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",,,,,
1037,28.30.90,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",,,,,
1038,28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI,,,,,
1039,28.41,Fabbricazione di macchine utensili per la formatura dei metalli,,,,,
1040,28.41.0,Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili),,,,,
1041,28.41.00,Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili),,,,,
1042,28.49,Fabbricazione di altre macchine utensili,,,,,
1043,28.49.0,Fabbricazione di altre macchine utensili (incluse parti e accessori),,,,,
1044,28.49.01,Fabbricazione di macchine per la galvanostegia,,,,,
1045,28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,,,,,
1046,28.9,FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI,,,,,
1047,28.91,Fabbricazione di macchine per la metallurgia,,,,,
1048,28.91.0,Fabbricazione di macchine per la metallurgia (incluse parti e accessori),,,,,
1049,28.91.00,Fabbricazione di macchine per la metallurgia (incluse parti e accessori),,,,,
1050,28.92,"Fabbricazione di macchine da miniera, cava e cantiere",,,,,
1051,28.92.0,"Fabbricazione di macchine da miniera, cava e cantiere (incluse parti e accessori)",,,,,
1052,28.92.01,"Fabbricazione di macchine per il trasporto a cassone ribaltabile per impiego specifico in miniere, cave e cantieri",,,,,
1053,28.92.09,"Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)",,,,,
1054,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",,,,,
1055,28.93.0,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)",,,,,
1056,28.93.00,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)",,,,,
1057,28.94,"Fabbricazione di macchine per le industrie tessili, dell'abbigliamento e del cuoio (incluse parti e accessori)",,,,,
1058,28.94.1,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)",,,,,
1059,28.94.10,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)",,,,,
1060,28.94.2,"Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)",,,,,
1061,28.94.20,"Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)",,,,,
1062,28.94.3,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),,,,,
1063,28.94.30,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),,,,,
1064,28.95,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),,,,,
1065,28.95.0,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),,,,,
1066,28.95.00,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),,,,,
1067,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),,,,,
1068,28.96.0,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),,,,,
1069,28.96.00,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),,,,,
1070,28.99,Fabbricazione di macchine per impieghi speciali nca (incluse parti e accessori),,,,,
1071,28.99.1,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori),,,,,
1072,28.99.10,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori),,,,,
1073,28.99.2,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori),,,,,
1074,28.99.20,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori),,,,,
1075,28.99.3,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere,,,,,
1076,28.99.30,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere,,,,,
1077,28.99.9,Fabbricazione di altre macchine per impieghi speciali nca (incluse parti e accessori),,,,,
1078,28.99.91,"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e apparecchiature simili",,,,,
1079,28.99.92,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento",,,,,
1080,28.99.93,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote, altre apparecchiature per il bilanciamento,,,,
1081,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori),,,,,
1082,29,"FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",,,,,
1083,29.1,FABBRICAZIONE DI AUTOVEICOLI,,,,,
1084,29.10,Fabbricazione di autoveicoli,,,,,
1085,29.10.0,Fabbricazione di autoveicoli,,,,,
1086,29.10.00,Fabbricazione di autoveicoli,,,,,
1087,29.2,"FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",,,,,
1088,29.20,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",,,,,
1089,29.20.0,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",,,,,
1090,29.20.00,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",,,,,
1091,29.3,FABBRICAZIONE DI PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI,,,,,
1092,29.31,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,,,,,
1093,29.31.0,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,,,,,
1094,29.31.00,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,,,,,
1095,29.32,Fabbricazione di altre parti ed accessori per autoveicoli,,,,,
1096,29.32.0,Fabbricazione di altre parti ed accessori per autoveicoli,,,,,
1097,29.32.01,Fabbricazione di sedili per autoveicoli,,,,,
1098,29.32.09,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca,,,,,
1099,30,FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO,,,,,
1100,30.1,COSTRUZIONE DI NAVI E IMBARCAZIONI,,,,,
1101,30.11,Costruzione di navi e di strutture galleggianti,,,,,
1102,30.11.0,Cantieri navali per costruzioni metalliche e non metalliche,,,,,
1103,30.11.01,Fabbricazione di sedili per navi,,,,,
1104,30.11.02,Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi),,,,,
1105,30.12,Costruzione di imbarcazioni da diporto e sportive,,,,,
1106,30.12.0,Costruzione di imbarcazioni da diporto e sportive,,,,,
1107,30.12.00,Costruzione di imbarcazioni da diporto e sportive,,,,,
1108,30.2,COSTRUZIONE DI LOCOMOTIVE E DI MATERIALE ROTABILE FERRO-TRANVIARIO,,,,,
1109,30.20,Costruzione di locomotive e di materiale rotabile ferro-tranviario,,,,,
1110,30.20.0,"Costruzione di materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere",,,,,
1111,30.20.01,"Fabbricazione di sedili per tram, filovie e metropolitane",,,,,
1112,30.20.02,"Costruzione di altro materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere",,,,,
1113,30.3,"FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI",,,,,
1114,30.30,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",,,,,
1115,30.30.0,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",,,,,
1116,30.30.01,Fabbricazione di sedili per aeromobili,,,,,
1117,30.30.02,Fabbricazione di missili balistici,,,,,
1118,30.30.09,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca",,,,,
1119,30.4,FABBRICAZIONE DI VEICOLI MILITARI DA COMBATTIMENTO,,,,,
1120,30.40,Fabbricazione di veicoli militari da combattimento,,,,,
1121,30.40.0,Fabbricazione di veicoli militari da combattimento,,,,,
1122,30.40.00,Fabbricazione di veicoli militari da combattimento,,,,,
1123,30.9,FABBRICAZIONE DI MEZZI DI TRASPORTO NCA,,,,,
1124,30.91,Fabbricazione di motocicli (inclusi i motori),,,,,
1125,30.91.1,Fabbricazione di motocicli e motoveicoli (inclusi i motori),,,,,
1126,30.91.11,Fabbricazione di motori per motocicli,,,,,
1127,30.91.12,Fabbricazione di motocicli,,,,,
1128,30.91.2,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori,,,,,
1129,30.91.20,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori,,,,,
1130,30.92,Fabbricazione di biciclette e veicoli per invalidi,,,,,
1131,30.92.1,Fabbricazione e montaggio di biciclette,,,,,
1132,30.92.10,Fabbricazione e montaggio di biciclette,,,,,
1133,30.92.2,Fabbricazione di parti ed accessori per biciclette,,,,,
1134,30.92.20,Fabbricazione di parti ed accessori per biciclette,,,,,
1135,30.92.3,Fabbricazione di veicoli per invalidi (incluse parti e accessori),,,,,
1136,30.92.30,Fabbricazione di veicoli per invalidi (incluse parti e accessori),,,,,
1137,30.92.4,Fabbricazione di carrozzine e passeggini per neonati,,,,,
1138,30.92.40,Fabbricazione di carrozzine e passeggini per neonati,,,,,
1139,30.99,Fabbricazione di altri mezzi di trasporto nca,,,,,
1140,30.99.0,Fabbricazione di veicoli a trazione manuale o animale,,,,,
1141,30.99.00,Fabbricazione di veicoli a trazione manuale o animale,,,,,
1142,31,FABBRICAZIONE DI MOBILI,,,,,
1143,31.0,FABBRICAZIONE DI MOBILI,,,,,
1144,31.01,Fabbricazione di mobili per ufficio e negozi,,,,,
1145,31.01.1,Fabbricazione di sedie e poltrone per ufficio e negozi,,,,,
1146,31.01.10,Fabbricazione di sedie e poltrone per ufficio e negozi,,,,,
1147,31.01.2,Fabbricazione di altri mobili per ufficio e negozi,,,,,
1148,31.01.21,Fabbricazione di altri mobili metallici per ufficio e negozi,,,,,
1149,31.01.22,Fabbricazione di altri mobili non metallici per ufficio e negozi,,,,,
1150,31.02,Fabbricazione di mobili per cucina,,,,,
1151,31.02.0,Fabbricazione di mobili per cucina,,,,,
1152,31.02.00,Fabbricazione di mobili per cucina,,,,,
1153,31.03,Fabbricazione di materassi,,,,,
1154,31.03.0,Fabbricazione di materassi,,,,,
1155,31.03.00,Fabbricazione di materassi,,,,,
1156,31.09,Fabbricazione di altri mobili,,,,,
1157,31.09.1,Fabbricazione di mobili per arredo domestico,,,,,
1158,31.09.10,Fabbricazione di mobili per arredo domestico,,,,,
1159,31.09.2,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",,,,,
1160,31.09.20,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",,,,,
1161,31.09.3,Fabbricazione di poltrone e divani,,,,,
1162,31.09.30,Fabbricazione di poltrone e divani,,,,,
1163,31.09.4,Fabbricazione di parti e accessori di mobili,,,,,
1164,31.09.40,Fabbricazione di parti e accessori di mobili,,,,,
1165,31.09.5,Finitura di mobili,,,,,
1166,31.09.50,Finitura di mobili,,,,,
1167,31.09.9,Fabbricazione di altri mobili (inclusi quelli per arredo esterno),,,,,
1168,31.09.90,Fabbricazione di altri mobili (inclusi quelli per arredo esterno),,,,,
1169,32,ALTRE INDUSTRIE MANIFATTURIERE,,,,,
1170,32.1,"FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI; LAVORAZIONE DELLE PIETRE PREZIOSE",,,,,
1171,32.11,Coniazione di monete,,,,,
1172,32.11.0,Coniazione di monete,,,,,
1173,32.11.00,Coniazione di monete,,,,,
1174,32.12,Fabbricazione di oggetti di gioielleria e oreficeria e articoli connessi,,,,,
1175,32.12.1,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,,,,,
1176,32.12.10,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,,,,,
1177,32.12.2,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale,,,,,
1178,32.12.20,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale,,,,,
1179,32.13,Fabbricazione di bigiotteria e articoli simili,,,,,
1180,32.13.0,Fabbricazione di bigiotteria e articoli simili,,,,,
1181,32.13.01,Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi),,,,,
1182,32.13.09,Fabbricazione di bigiotteria e articoli simili nca,,,,,
1183,32.2,FABBRICAZIONE DI STRUMENTI MUSICALI,,,,,
1184,32.20,Fabbricazione di strumenti musicali,,,,,
1185,32.20.0,Fabbricazione di strumenti musicali (incluse parti e accessori),,,,,
1186,32.20.00,Fabbricazione di strumenti musicali (incluse parti e accessori),,,,,
1187,32.3,FABBRICAZIONE DI ARTICOLI SPORTIVI,,,,,
1188,32.30,Fabbricazione di articoli sportivi,,,,,
1189,32.30.0,Fabbricazione di articoli sportivi,,,,,
1190,32.30.00,Fabbricazione di articoli sportivi,,,,,
1191,32.4,FABBRICAZIONE DI GIOCHI E GIOCATTOLI,,,,,
1192,32.40,Fabbricazione di giochi e giocattoli,,,,,
1193,32.40.1,Fabbricazione di giochi (inclusi i giochi elettronici),,,,,
1194,32.40.10,Fabbricazione di giochi (inclusi i giochi elettronici),,,,,
1195,32.40.2,Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo),,,,,
1196,32.40.20,Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo),,,,,
1197,32.5,FABBRICAZIONE DI STRUMENTI E FORNITURE MEDICHE E DENTISTICHE,,,,,
1198,32.50,Fabbricazione di strumenti e forniture mediche e dentistiche,,,,,
1199,32.50.1,"Fabbricazione di mobili per uso medico, apparecchi medicali, di materiale medico-chirurgico e veterinario, di apparecchi e strumenti per odontoiatria (incluse parti staccate e accessori)",,,,,
1200,32.50.11,Fabbricazione di materiale medico-chirurgico e veterinario,,,,,
1201,32.50.12,Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori),,,,,
1202,32.50.13,"Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario",,,,,
1203,32.50.14,Fabbricazione di centrifughe per laboratori,,,,,
1204,32.50.2,Fabbricazione di protesi dentarie (inclusa riparazione),,,,,
1205,32.50.20,Fabbricazione di protesi dentarie (inclusa riparazione),,,,,
1206,32.50.3,"Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)",,,,,
1207,32.50.30,"Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)",,,,,
1208,32.50.4,Fabbricazione di lenti oftalmiche,,,,,
1209,32.50.40,Fabbricazione di lenti oftalmiche,,,,,
1210,32.50.5,Fabbricazione di armature per occhiali di qualsiasi tipo, montatura in serie di occhiali comuni,,,,
1211,32.50.50,Fabbricazione di armature per occhiali di qualsiasi tipo, montatura in serie di occhiali comuni,,,,
1212,32.9,INDUSTRIE MANIFATTURIERE NCA,,,,,
1213,32.91,Fabbricazione di scope e spazzole,,,,,
1214,32.91.0,Fabbricazione di scope e spazzole,,,,,
1215,32.91.00,Fabbricazione di scope e spazzole,,,,,
1216,32.99,Altre industrie manifatturiere nca,,,,,
1217,32.99.1,Fabbricazione di attrezzature ed articoli di vestiario protettivi di sicurezza,,,,,
1218,32.99.11,Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza,,,,,
1219,32.99.12,Fabbricazione di articoli in plastica per la sicurezza personale,,,,,
1220,32.99.13,Fabbricazione di articoli in metallo per la sicurezza personale,,,,,
1221,32.99.14,Fabbricazione di maschere antigas,,,,,
1222,32.99.19,Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza,,,,,
1223,32.99.2,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini",,,,,
1224,32.99.20,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini",,,,,
1225,32.99.3,Fabbricazione di oggetti di cancelleria,,,,,
1226,32.99.30,Fabbricazione di oggetti di cancelleria,,,,,
1227,32.99.4,Fabbricazione di casse funebri,,,,,
1228,32.99.40,Fabbricazione di casse funebri,,,,,
1229,32.99.9,Fabbricazione di altri articoli nca,,,,,
1230,32.99.90,Fabbricazione di altri articoli nca,,,,,
1231,33,"RIPARAZIONE, MANUTENZIONE ED INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE",,,,,
1232,33.1,"RIPARAZIONE E MANUTENZIONE DI PRODOTTI IN METALLO, MACCHINE ED APPARECCHIATURE",,,,,
1233,33.11,Riparazione e manutenzione di prodotti in metallo,,,,,
1234,33.11.0,Riparazione e manutenzione di prodotti in metallo,,,,,
1235,33.11.01,"Riparazione e manutenzione di stampi, portastampi, sagome, forme per macchine",,,,,
